crim,zn,indus,nox,rm,age,dis,rad,tax,ptratio,popul,lstat,price
-0.4774,-0.4919,-0.719,-0.432,-0.7006,-0.2092,-0.2556,-0.4438,-0.713,0.328,0.0548,-0.1635,20.0
-0.4809,-0.4919,-0.719,-0.432,-0.6847,-0.9181,0.0267,-0.4438,-0.713,0.328,0.4405,-0.5749,21.0
-0.4616,-0.4919,-0.719,-0.432,-0.4795,-1.3206,-0.0174,-0.4438,-0.713,0.328,0.3713,-0.363,24.7
-0.4916,3.3445,-1.1634,-1.0702,0.6328,-1.6199,0.7713,-0.6883,-0.881,-0.0979,0.4151,-1.2685,30.8
-0.4903,3.3445,-1.1634,-1.0702,1.3915,-1.8336,0.7713,-0.6883,-0.881,-0.0979,0.4149,-1.6332,34.9
-0.4713,-0.4919,-0.5788,-0.8904,0.9423,-2.2931,0.9336,-0.6883,-0.9992,-0.2873,0.2113,-1.1874,26.6
-0.4685,-0.4919,-0.5788,-0.8904,-0.1205,-2.1613,0.9336,-0.6883,-0.9992,-0.2873,0.1706,-1.0363,25.3
-0.4648,-0.4919,-0.5788,-0.8904,-0.0463,-2.1649,0.9336,-0.6883,-0.9992,-0.2873,0.3918,-0.7822,24.7
-0.4723,-0.4919,-0.5788,-0.8904,-0.2974,-0.9715,0.9336,-0.6883,-0.9992,-0.2873,0.2907,-0.4534,21.2
-0.4624,-0.4919,-0.5788,-0.8904,-0.9818,-1.1924,0.6186,-0.6883,-0.9992,-0.2873,0.4405,-0.3505,19.3
-0.4589,-0.4919,-0.5788,-0.8904,-0.7978,-1.2102,0.6186,-0.6883,-0.9992,-0.2873,0.4405,0.2635,20.0
-0.4506,-0.4919,-0.5788,-0.8904,-0.3663,0.6493,0.9176,-0.6883,-0.9992,-0.2873,0.3575,0.9882,16.6
-0.4456,-0.4919,-0.5788,-0.8904,-1.4822,0.9984,1.0093,-0.6883,-0.9992,-0.2873,0.4405,2.86,14.4
-0.4526,-0.4919,-0.5788,-0.8904,-1.1232,-0.1878,1.1197,-0.6883,-0.9992,-0.2873,0.4405,0.583,19.4
-0.4792,0.5823,-0.7663,-0.9713,-0.4848,-0.7685,1.4887,-0.566,-0.937,-0.8079,0.4137,0.1544,19.7
-0.4884,0.5823,-0.7663,-0.9713,-0.216,-0.1522,1.4887,-0.566,-0.937,-0.8079,0.382,-0.4721,20.5
-0.4863,0.5823,-0.7663,-0.9713,0.4843,-1.6448,1.4887,-0.566,-0.937,-0.8079,0.4405,-1.1189,25.0
-0.4871,0.5823,-0.7663,-0.9713,-0.4229,-1.6341,1.4887,-0.566,-0.937,-0.8079,0.4405,-0.6279,23.4
-0.4944,3.3445,-1.0084,-1.2319,-0.6175,-0.7008,1.7451,-0.6883,0.4692,1.2273,0.4405,0.3648,18.9
-0.4658,0.7869,-0.8415,-0.8455,-0.163,-1.3563,1.9963,-0.0769,-0.6819,0.5647,0.3164,-0.8726,23.3
-0.4762,0.7869,-0.8415,-0.8455,-0.5485,-0.715,1.5483,-0.0769,-0.6819,0.5647,0.4405,-0.5048,19.6
-0.4669,0.7869,-0.8415,-0.8455,-0.8774,-0.0382,1.6972,-0.0769,-0.6819,0.5647,0.4048,0.1077,18.7
-0.4623,0.7869,-0.8415,-0.8455,-0.4795,0.9307,1.4907,-0.0769,-0.6819,0.5647,0.0651,0.3087,16.0
-0.4748,0.7869,-0.8415,-0.8455,0.387,0.0188,1.6972,-0.0769,-0.6819,0.5647,0.4405,-0.8929,22.2
-0.4715,0.7869,-0.8415,-0.8455,0.9282,-0.8504,2.0806,-0.0769,-0.6819,0.5647,0.4141,-0.4612,25.0
-0.4932,0.4033,-1.3952,-1.1771,1.533,-0.2769,2.711,-0.6883,-1.105,0.0441,0.3675,-0.6872,33.0
-0.4899,3.6002,-1.1014,-1.3398,0.0935,-1.7624,1.3856,-0.566,-0.3521,-1.1392,0.4405,-1.2139,23.5
-0.4883,3.6002,-1.1014,-1.3398,-0.7961,-1.2886,1.3856,-0.566,-0.3521,-1.1392,0.4405,-0.3458,19.4
-0.4854,0.1475,-0.7028,-1.2409,-0.6351,-1.6341,1.328,-0.566,-0.3023,0.186,0.4267,-0.6794,22.0
-0.4697,0.1475,-0.7028,-1.2409,-1.1374,-1.0855,1.328,-0.566,-0.3023,0.186,0.4405,0.0983,17.4
-0.4712,0.1475,-0.7028,-1.2409,-0.6228,-1.2209,1.328,-0.566,-0.3023,0.186,0.4405,-0.5718,20.9
-0.4793,-0.4919,-0.003,-1.205,0.318,-2.1613,0.7135,-0.566,-0.5512,0.328,0.1778,-0.8944,24.2
-0.4649,-0.4919,-0.003,-1.205,-0.4884,-1.773,0.7135,-0.566,-0.5512,0.328,0.0424,-0.402,21.7
-0.4786,-0.4919,-0.003,-1.205,-0.3044,-2.1186,0.7135,-0.566,-0.5512,0.328,0.321,-1.0815,22.8
-0.4575,-0.4919,-0.003,-1.205,0.0139,-2.1756,0.7135,-0.566,-0.5512,0.328,0.047,-0.7666,23.4
-0.4811,-0.4919,0.2953,-0.9893,0.0634,-2.1827,0.1878,-0.4438,0.0274,0.0914,0.401,-0.8851,24.1
-0.4779,-0.4919,0.2953,-0.9893,0.0864,-0.7934,0.3152,-0.4438,0.0274,0.0914,0.1678,-0.5485,21.4
-0.4766,-0.4919,0.2953,-0.9893,0.074,0.2575,0.0866,-0.4438,0.0274,0.0914,-0.023,-0.0762,20.0
-0.4795,-0.4919,0.2953,-0.9893,-0.1718,-0.7649,0.1061,-0.4438,0.0274,0.0914,0.2422,-0.3412,20.8
-0.4857,-0.4919,0.2953,-0.9893,-0.0091,-0.4835,0.5748,-0.4438,0.0274,0.0914,0.2311,-0.0186,21.2
-0.4801,-0.4919,0.2953,-0.9893,-0.6422,-1.0926,0.3152,-0.4438,0.0274,0.0914,0.4237,-0.5235,20.3
-0.4888,0.7869,-0.8814,-1.0881,0.8663,-1.2031,0.7711,-0.566,-0.7006,0.2334,0.4405,-1.1173,28.0
-0.4881,0.7869,-0.8814,-1.0881,0.6753,0.1114,0.7711,-0.566,-0.7006,0.2334,0.4151,-0.8165,23.9
-0.4897,0.7869,-0.8814,-1.0881,0.1147,-1.2494,0.7711,-0.566,-0.7006,0.2334,0.4405,-0.8944,24.8
-0.49,0.7869,-0.8814,-1.0881,-0.1241,-0.7329,0.7711,-0.566,-0.7006,0.2334,0.3156,-0.7713,22.9
-0.4869,-0.4919,-0.936,-0.8814,0.2685,-0.6865,0.4557,-0.6883,-0.9121,-0.0033,0.4405,-0.4425,23.9
-0.4855,-0.4919,-0.936,-0.8814,0.6947,-0.398,0.2823,-0.6883,-0.9121,-0.0033,0.3487,-0.9241,26.6
-0.4866,-0.4919,-0.936,-0.8814,-0.3929,-0.7899,0.277,-0.6883,-0.9121,-0.0033,0.4223,0.0625,22.5
-0.4827,-0.4919,-0.936,-0.8814,-0.2054,-0.3731,-0.068,-0.6883,-0.9121,-0.0033,0.4056,-0.6264,22.2
-0.4857,-0.4919,-1.0955,-0.5219,1.3614,0.6778,-0.2334,-0.8106,-0.769,-0.3346,0.4405,-1.0846,23.6
-0.4864,-0.4919,-1.0955,-0.5219,1.4888,-0.1486,-0.237,-0.8106,-0.769,-0.3346,0.4237,-1.0534,28.7
-0.4877,-0.4919,-1.0955,-0.5219,0.318,-0.0418,-0.4006,-0.8106,-0.769,-0.3346,0.3463,-0.5687,22.6
-0.4892,-0.4919,-1.0955,-0.5219,0.2968,0.2361,-0.4007,-0.8106,-0.769,-0.3346,0.3736,-0.6638,22.0
-0.4886,0.9403,0.6215,-0.7466,0.3623,-0.4871,-0.1094,-0.566,-0.769,-0.1453,0.4028,-0.67,22.9
-0.4913,0.9403,0.6215,-0.7466,-0.0463,-1.3669,-0.1094,-0.566,-0.769,-0.1453,0.4291,-0.9739,25.0
-0.4885,0.9403,0.6215,-0.7466,0.0209,0.3572,-0.1353,-0.566,-0.769,-0.1453,0.4405,-0.2913,20.6
-0.4724,-0.4919,-1.1723,-0.9174,0.6859,-0.3374,-0.1961,-0.8106,-0.7317,-0.2399,-0.3357,-0.9054,28.4
-0.4738,-0.4919,-1.1723,-0.9174,-0.1311,0.0829,-0.1961,-0.8106,-0.7317,-0.2399,0.3393,-0.1744,21.4
-0.4726,-0.4919,-1.1723,-0.9174,3.2395,0.3109,-0.1961,-0.8106,-0.7317,-0.2399,0.4405,-1.2856,38.7
-0.4806,-0.4919,-1.1723,-0.9174,2.7992,-1.082,-0.1961,-0.8106,-0.7317,-0.2399,0.3732,-1.3854,43.8
-0.4832,-0.4919,-1.1723,-0.9174,2.0847,-0.17,-0.1961,-0.8106,-0.7317,-0.2399,0.4405,-0.977,33.2
-0.467,-0.4919,-0.3352,-0.2433,0.8663,0.4498,-0.5602,-0.4438,-0.0597,1.1327,0.3978,-0.4736,27.5
-0.474,-0.4919,-0.3352,-0.2433,0.9618,0.1435,-0.5205,-0.4438,-0.0597,1.1327,0.4141,-0.7464,26.5
-0.4542,-0.4919,-0.3352,-0.2433,-0.1771,0.717,-0.5922,-0.4438,-0.0597,1.1327,0.392,0.1529,19.3
-0.4688,-0.4919,-0.3352,-0.2433,-0.1241,0.8096,-0.7413,-0.4438,-0.0597,1.1327,0.3565,-0.0201,20.1
-0.4703,-0.4919,-0.3352,-0.2433,-0.6829,1.0483,-0.9007,-0.4438,-0.0597,1.1327,0.3836,0.6251,19.5
-0.4624,-0.4919,-0.3352,-0.2433,-0.7094,0.8773,-0.8479,-0.4438,-0.0597,1.1327,0.4159,0.9664,19.5
-0.4705,-0.4919,-0.3352,-0.2433,-0.1948,0.6386,-0.8929,-0.4438,-0.0597,1.1327,0.2568,0.2542,20.4
-0.4712,-0.4919,-0.3352,-0.2433,0.4188,1.0625,-0.7353,-0.4438,-0.0597,1.1327,0.4073,-0.0295,19.8
-0.4437,-0.4919,-0.3352,-0.2433,-0.0144,0.8524,-0.6783,-0.4438,-0.0597,1.1327,0.3274,0.4817,19.4
-0.4753,-0.4919,-0.3352,-0.2433,-0.0745,-0.4586,-0.5602,-0.4438,-0.0597,1.1327,0.3724,0.0843,21.7
-0.4767,-0.4919,-0.1211,-0.0006,0.845,0.5104,-0.6111,-0.3215,0.239,-0.3346,0.4143,-0.3583,22.8
-0.4721,-0.4919,-0.1211,-0.0006,-0.5732,0.9129,-0.7756,-0.3215,0.239,-0.3346,0.4016,0.5846,18.8
-0.4521,-0.4919,-0.1211,-0.0006,-0.2567,1.002,-0.6768,-0.3215,0.239,-0.3346,0.4405,0.7217,18.7
-0.4683,-0.4919,-0.1211,-0.0006,0.0298,0.603,-0.8248,-0.3215,0.239,-0.3346,0.2777,-0.3131,18.5
-0.4624,-0.4919,-0.1211,-0.0006,-0.5467,0.7455,-0.7199,-0.3215,0.239,-0.3346,-0.5964,0.5145,18.3
-0.4705,-0.4919,-0.1211,-0.0006,-0.1081,0.1862,-0.5844,-0.3215,0.239,-0.3346,0.3687,-0.0653,21.2
-0.4665,-0.4919,-0.1211,-0.0006,-0.3823,0.546,-0.5756,-0.3215,0.239,-0.3346,0.3928,-0.3365,19.2
-0.4707,-0.4919,-0.1211,-0.0006,-0.6458,0.2076,-0.7126,-0.3215,0.239,-0.3346,-0.7216,0.4537,20.4
-0.4678,-0.4919,-0.1211,-0.0006,-0.8951,-0.0738,-0.5696,-0.3215,0.239,-0.3346,0.3328,0.1794,19.3
-0.4832,-0.4919,2.188,0.305,-0.6493,0.0865,-0.8242,-0.8106,-1.2792,0.2807,0.2859,0.2978,22.0
-0.4826,-0.4919,2.188,0.305,-0.4123,0.5994,-0.8548,-0.8106,-1.2792,0.2807,0.0569,0.2822,20.3
-0.4783,-0.4919,2.188,0.305,-0.4884,0.9129,-0.9109,-0.8106,-1.2792,0.2807,0.0653,0.8526,20.5
-0.4666,-0.4919,2.188,0.305,-0.674,1.059,-0.9832,-0.8106,-1.2792,0.2807,-0.0898,2.0184,17.3
-0.4772,-0.4919,2.188,0.305,-0.6334,1.0162,-0.9518,-0.8106,-1.2792,0.2807,0.0911,0.7981,18.8
-0.4629,-0.4919,2.188,0.305,-0.4442,0.7526,-0.9586,-0.8106,-1.2792,0.2807,0.2035,0.3664,21.4
-0.4186,-0.4919,2.188,0.305,-1.1038,1.0091,-1.0782,-0.8106,-1.2792,0.2807,-0.3096,2.3067,15.7
-0.4446,-0.4919,1.6328,0.6914,-0.9623,1.0234,-1.0624,-0.566,0.2701,1.2747,0.3449,0.7373,16.2
-0.4311,-0.4919,1.6328,0.6914,0.3428,1.1231,-1.0501,-0.566,0.2701,1.2747,0.4405,0.4568,18.0
-0.3183,-0.4919,1.6328,0.6914,-1.0613,0.977,-0.9652,-0.566,0.2701,1.2747,0.4405,0.9165,14.3
-0.4282,-0.4919,1.6328,0.6914,0.3906,1.1267,-0.8948,-0.566,0.2701,1.2747,0.4034,0.022,19.2
-0.2551,-0.4919,1.6328,0.6914,0.1571,1.0839,-0.8174,-0.566,0.2701,1.2747,0.4405,-0.031,19.6
-0.3774,-0.4919,1.6328,0.6914,0.2385,1.091,-0.7888,-0.566,0.2701,1.2747,0.2183,-0.2087,23.0
-0.4302,-0.4919,1.6328,0.6914,-0.7342,1.002,-0.7165,-0.566,0.2701,1.2747,0.2767,0.4007,18.4
-0.2991,-0.4919,1.6328,0.6914,-0.8491,1.1089,-0.7794,-0.566,0.2701,1.2747,-2.2347,0.756,15.6
-0.384,-0.4919,1.6328,0.6914,0.173,1.1017,-0.8988,-0.566,0.2701,1.2747,0.396,0.7015,18.1
-0.4317,-0.4919,1.6328,0.6914,-0.522,0.9343,-0.9718,-0.566,0.2701,1.2747,0.0685,0.6921,17.4
-0.4257,-0.4919,1.6328,0.6914,0.3835,1.1089,-1.0312,-0.566,0.2701,1.2747,0.3842,0.3321,17.1
-0.4465,-0.4919,1.6328,0.6914,-0.6723,1.1017,-1.1232,-0.566,0.2701,1.2747,0.3435,1.381,13.3
-0.3867,-0.4919,1.6328,0.6914,-0.1524,1.091,-1.1231,-0.566,0.2701,1.2747,0.4405,0.9353,17.8
-0.4381,-0.4919,1.6328,0.6914,-0.1117,0.9379,-1.152,-0.566,0.2701,1.2747,0.2646,1.8236,14.0
0.3343,-0.4919,1.2918,2.9114,-1.3602,1.1658,-1.2535,-0.4438,0.0585,-1.8019,0.4405,2.1758,15.6
0.0669,-0.4919,1.2918,2.9114,-2.3594,1.0875,-1.287,-0.4438,0.0585,-1.8019,0.4405,2.6231,11.8
-0.0143,-0.4919,1.2918,2.9114,-0.1895,1.1658,-1.2498,-0.4438,0.0585,-1.8019,-4.0266,2.3909,13.8
-0.0599,-0.4919,1.2918,2.9114,-1.0773,1.1658,-1.2003,-0.4438,0.0585,-1.8019,-4.0992,0.6532,15.6
-0.0165,-0.4919,1.2918,2.9114,-2.3187,1.0127,-1.2287,-0.4438,0.0585,-1.8019,0.3369,2.6605,14.6
-0.0242,-0.4919,1.2918,2.9114,-1.8589,0.945,-1.1937,-0.4438,0.0585,-1.8019,-0.3555,2.4719,17.8
0.0576,-0.4919,1.2918,2.9114,-1.1321,0.9842,-1.1957,-0.4438,0.0585,-1.8019,-0.458,1.4012,15.4
-0.161,-0.4919,1.2918,2.9114,-0.2036,1.0697,-1.1489,-0.4438,0.0585,-1.8019,-0.0402,0.2557,21.5
-0.1935,-0.4919,1.2918,2.9114,-1.4734,1.1658,-1.1623,-0.4438,0.0585,-1.8019,-0.6624,0.1279,19.6
-0.0611,-0.4919,1.2918,2.9114,-0.934,1.1124,-1.1462,-0.4438,0.0585,-1.8019,-2.2509,0.5191,19.4
-0.0007,-0.4919,1.2918,2.9114,-1.7068,0.9521,-1.0888,-0.4438,0.0585,-1.8019,-5.7074,0.5737,13.1
-0.2489,-0.4919,1.2918,0.5207,1.2482,1.0732,-1.0173,-0.4438,0.0585,-1.8019,-0.227,-1.2264,41.3
-0.2247,-0.4919,1.2918,0.5207,-0.3027,1.1658,-1.0782,-0.4438,0.0585,-1.8019,-0.4173,-0.9396,24.3
-0.208,-0.4919,1.2918,2.9114,0.4825,1.1658,-1.0738,-0.4438,0.0585,-1.8019,-0.2095,-0.79,23.3
-0.0421,-0.4919,1.2918,0.5207,-0.6776,0.8737,-0.7408,-0.4438,0.0585,-1.8019,0.4048,-0.1277,22.7
0.0962,-0.4919,1.2918,0.5207,-0.2408,0.9165,-0.8111,-0.4438,0.0585,-1.8019,-2.6854,-0.4129,25.0
-0.1319,-0.4919,1.2918,0.5207,-0.6369,0.4249,-0.7388,-0.4438,0.0585,-1.8019,-2.9357,-0.0497,23.8
-0.0304,-0.4919,1.2918,0.5207,0.1447,1.0269,-0.9042,-0.4438,0.0585,-1.8019,-1.5501,-0.2118,23.8
-0.0001,-0.4919,1.2918,0.5207,0.2915,0.9949,-0.8217,-0.4438,0.0585,-1.8019,-0.8929,-0.1775,22.3
-0.2522,-0.4919,1.2918,0.5207,-0.6404,0.9735,-0.7388,-0.4438,0.0585,-1.8019,-1.6458,0.3072,17.4
-0.0276,-0.4919,1.2918,0.5207,-0.6316,1.0697,-0.7577,-0.4438,0.0585,-1.8019,-0.5322,-0.0669,19.1
-0.4689,-0.4919,-1.001,-0.3332,-1.1763,0.7562,-0.6524,-0.4438,-0.6072,-0.9026,0.4405,0.3477,23.1
-0.4785,-0.4919,-1.001,-0.3332,0.3163,0.5994,-0.6269,-0.4438,-0.6072,-0.9026,0.4125,-0.5329,23.6
-0.48,-0.4919,-1.001,-0.3332,-0.6687,0.0509,-0.5987,-0.4438,-0.6072,-0.9026,0.3673,-0.4394,22.6
-0.4836,-0.4919,-1.001,-0.3332,0.5462,-1.2173,-0.3803,-0.4438,-0.6072,-0.9026,0.322,-1.1111,29.4
-0.4829,-0.4919,-1.001,-0.3332,-0.384,-0.715,-0.1658,-0.4438,-0.6072,-0.9026,0.3673,-0.3661,23.2
-0.4862,-0.4919,-1.001,-0.3332,0.1377,0.2183,-0.2863,-0.4438,-0.6072,-0.9026,0.4145,-0.9615,24.6
-0.4837,-0.4919,-1.001,-0.3332,1.1015,0.2539,-0.4904,-0.4438,-0.6072,-0.9026,0.3282,-0.8633,29.9
-0.4854,-0.4919,-1.2357,-0.5309,1.3137,-0.3161,-0.5342,-0.6883,-1.2481,-0.3346,0.4405,-1.1563,37.2
-0.4838,-0.4919,-1.2357,-0.5309,2.7019,0.5709,-0.5789,-0.6883,-1.2481,-0.3346,0.4137,-0.7635,39.8
-0.4832,-0.4919,-1.2357,-0.5309,-0.1647,-0.1807,-0.6515,-0.6883,-1.2481,-0.3346,0.4405,-0.469,36.2
-0.4787,-0.4919,-1.2357,-0.5309,1.6232,0.888,-0.5994,-0.6883,-1.2481,-0.3346,0.385,-1.1906,37.9
-0.4769,-0.4919,-1.2357,-0.5309,0.5762,1.0091,-0.5251,-0.6883,-1.2481,-0.3346,0.4405,-1.0565,32.5
-0.4803,-0.4919,-1.2357,-0.5309,-1.1197,0.8025,-0.4536,-0.6883,-1.2481,-0.3346,0.3228,0.237,26.4
-0.4849,-0.4919,-1.2357,-0.5309,-0.1488,0.0544,-0.3055,-0.6883,-1.2481,-0.3346,0.2452,0.1077,29.6
-0.4812,1.8099,-1.0911,-0.9893,0.9635,-0.9323,-0.0472,-0.4438,0.0274,-1.5652,0.38,-0.9007,32.0
-0.4716,1.8099,-1.0911,-0.9893,0.5639,-1.3598,0.3478,-0.4438,0.0274,-1.5652,0.1601,-1.2311,29.8
-0.4802,1.8099,-1.0911,-0.9893,1.6762,-1.0107,0.3478,-0.4438,0.0274,-1.5652,0.4405,-1.1017,34.9
-0.4788,1.8099,-1.0911,-0.9893,1.2624,-1.6306,1.3188,-0.4438,0.0274,-1.5652,0.0571,-1.1469,37.0
-0.4831,1.8099,-1.0911,-0.9893,0.8875,-1.2993,1.3188,-0.4438,0.0274,-1.5652,0.2971,-1.2108,30.5
-0.4796,1.8099,-1.0911,-0.9893,1.6638,-1.4596,1.3188,-0.4438,0.0274,-1.5652,0.3126,-1.4945,36.4
-0.4927,2.5772,-1.1664,-1.3128,0.9954,-2.0438,1.1867,-0.9329,-0.8001,-1.3759,0.3701,-1.1578,31.1
-0.4942,2.5772,-1.1664,-1.3128,0.6487,-1.7267,1.1867,-0.9329,-0.8001,-1.3759,0.0376,-1.2591,29.1
-0.489,3.6002,-1.3745,-1.2859,1.8566,-1.1817,1.7396,-0.8106,-0.4019,-2.7958,0.4405,-1.3059,33.3
-0.4877,3.6002,-1.3745,-1.2859,1.5383,-1.0926,1.7396,-0.8106,-0.4019,-2.7958,-0.4089,-0.5999,30.3
-0.4895,3.6002,-1.3745,-1.2859,1.8336,-1.0321,1.7396,-0.8106,-0.4019,-2.7958,0.3467,-0.91,34.6
-0.4695,-0.4919,-0.0355,-0.5219,-0.6122,-1.6021,0.0324,-0.566,-0.7254,0.0441,0.4405,-0.2477,22.6
-0.4506,-0.4919,-0.0355,-0.5219,0.1571,-0.5262,0.2403,-0.566,-0.7254,0.0441,0.4,-0.2321,24.4
-0.446,-0.4919,-0.0355,-0.5219,-0.8031,0.1933,0.2403,-0.566,-0.7254,0.0441,0.2915,0.8729,22.5
-0.4686,-0.4919,-0.0355,-0.5219,0.2438,-1.2458,0.0324,-0.566,-0.7254,0.0441,0.2193,-0.4799,28.1
-0.4384,-0.4919,-0.0355,-0.5219,-1.4592,-2.0473,-0.1492,-0.566,-0.7254,0.0441,-0.5162,2.6636,23.7
-0.457,-0.4919,-0.0355,-0.5219,-0.0975,-0.886,0.0324,-0.566,-0.7254,0.0441,0.3752,-0.4659,25.0
-0.4829,-0.4919,0.4518,0.0263,0.7159,0.6351,-0.2337,-0.4438,-0.7317,-0.9972,0.3583,-0.4316,28.7
-0.3724,-0.4919,-0.6836,-0.3601,0.6735,0.4819,-0.3093,-0.0769,-0.5388,-0.5239,0.4405,-0.7573,30.1
-0.4332,-0.4919,-0.6836,-0.3871,3.5879,0.3928,-0.501,-0.0769,-0.5388,-0.5239,0.2041,-1.2965,44.8
-0.4196,-0.4919,-0.6836,-0.3871,3.1882,0.6849,-0.3379,-0.0769,-0.5388,-0.5239,0.2506,-1.4539,37.6
-0.4135,-0.4919,-0.6836,-0.3871,1.6373,0.4498,-0.3379,-0.0769,-0.5388,-0.5239,-0.0545,-0.9505,31.6
-0.4075,-0.4919,-0.6836,-0.3871,0.5568,-1.6341,-0.257,-0.0769,-0.5388,-0.5239,0.1102,-1.3558,31.5
-0.3882,-0.4919,-0.6836,-0.3871,-0.453,0.0295,-0.1066,-0.0769,-0.5388,-0.5239,0.0705,-0.1261,24.3
-0.4032,-0.4919,-0.6836,-0.3871,2.0776,0.343,-0.1066,-0.0769,-0.5388,-0.5239,0.0264,-1.1235,31.7
