age,monthly_revenue,debt_ratio,rated_exposure,serious_delinquencies_in_past_2_years,composite_overdue
1.0067,0.8288,-0.3335,-0.7212,1,60
0.7334,0.2675,-0.3329,-0.7212,0,30
-0.8384,-0.2005,0.1601,-0.7212,1,480
-1.1801,-1.136,-0.3298,-0.7212,0,0
0.255,-0.2005,2.6913,-0.7212,1,30
-1.3167,-0.7022,-0.3325,0.2283,0,0
-0.2233,-0.2005,0.2265,0.2283,0,60
0.3917,1.2973,-0.3334,-0.7212,0,0
-1.1801,0.0123,-0.3334,2.1271,0,0
0.5967,-0.2646,-0.333,0.2283,0,180
-1.9318,-0.2005,-0.3314,0.0285,0,0
-1.5217,-0.6683,-0.3333,-0.7212,0,30
1.28,-1.5185,1.2682,0.2283,0,0
-0.0867,-0.5529,-0.3331,0.2283,0,30
-0.6334,-1.0594,-0.3328,-0.7212,1,660
-1.1117,1.2881,-0.3332,0.2283,0,0
-0.2917,-0.2174,-0.3334,1.1777,1,420
0.1183,-0.8231,-0.3328,2.1271,0,0
-0.0867,1.2784,-0.3327,3.0766,1,570
-1.5217,-0.4343,-0.3334,-0.7212,0,0
0.1867,-0.8155,-0.3335,-0.7212,1,60
-1.1117,-0.9816,-0.3319,1.1777,1,30
-0.565,-0.4639,-0.3334,3.0766,0,0
1.0067,-0.2005,2.0419,0.0285,0,0
1.3484,0.4463,-0.3327,0.2283,1,0
0.46,0.6757,-0.333,-0.7212,0,0
-0.7017,-0.2005,1.8523,0.0285,0,0
-1.2484,-0.6256,-0.3333,-0.7212,1,120
-0.6334,0.2675,-0.3335,-0.7212,0,0
-1.1117,-0.5458,-0.3334,2.1271,0,0
0.8017,-0.1554,-0.3335,-0.7212,0,0
0.5967,-0.9433,-0.3332,-0.7212,1,270
-0.0183,-1.0084,-0.3331,-0.7212,0,0
-1.0434,-0.5083,-0.3332,1.1777,1,390
0.255,-0.5236,-0.3332,-0.7212,0,0
-1.6584,-0.7226,-0.3334,-0.7212,1,0
1.3484,-0.2133,-0.3333,-0.7212,0,0
-0.565,-0.0209,-0.3328,3.0766,1,60
0.8017,1.6709,-0.3332,-0.7212,0,0
-0.4284,-1.0035,-0.3314,-0.7212,1,270
-0.77,-0.2005,0.2222,-0.7212,0,0
-0.155,-0.1663,-0.3329,2.1271,1,120
-0.9067,-0.1153,-0.3332,-0.7212,0,0
-0.7017,-0.9916,-0.3335,-0.7212,0,0
0.3917,-0.137,-0.3325,-0.7212,1,0
0.5967,-0.2005,0.3802,-0.7212,0,0
0.8017,-0.7532,-0.3326,-0.7212,0,0
-0.6334,-0.2005,-0.2496,-0.7212,0,0
1.6217,-0.2005,-0.3117,-0.7212,0,0
-0.6334,-0.2327,-0.3327,1.1777,0,0
-1.1801,-0.3386,-0.3331,-0.7212,0,180
0.255,1.7985,-0.3332,1.1777,0,30
-0.155,0.4874,-0.3331,1.1777,1,120
1.6901,-0.8808,-0.3335,-0.7212,0,0
0.3233,0.565,-0.3335,-0.7212,0,30
1.6901,-1.3911,-0.3331,-0.7212,0,0
-0.9067,-1.2636,-0.3335,0.2283,1,0
1.1434,0.3568,-0.3332,-0.7212,0,30
0.7334,0.4813,-0.3332,-0.7212,0,0
0.1183,-0.1579,-0.3328,0.2283,0,0
-0.6334,-1.1105,-0.3327,-0.7212,0,0
0.1183,-0.2005,4.2179,0.0285,0,0
0.3917,-0.345,-0.3334,0.2283,0,0
-1.6584,-1.5169,-0.3199,-0.7212,0,0
-1.2484,-0.2429,-0.3335,-0.7212,0,0
0.3917,-0.8043,-0.3329,-0.7212,0,0
0.665,0.0569,-0.3332,-0.7212,1,330
0.5284,-1.0339,-0.3326,-0.7212,0,90
-0.0183,-0.4131,-0.3325,1.1777,0,0
-1.2484,-0.4531,-0.3333,-0.7212,1,0
-0.6334,-0.1408,-0.3329,1.1777,1,60
-0.36,1.0074,-0.3332,1.1777,0,0
0.5967,-1.2125,-0.3307,1.1777,1,240
-1.3167,-0.3365,-0.3334,0.2283,0,0
-0.2917,-0.3011,-0.3327,1.1777,0,60
-0.975,4.095,-0.3333,1.1777,1,0
1.2117,1.033,-0.3334,-0.7212,0,0
-0.77,-0.2536,-0.3332,0.2283,1,30
-0.8384,-0.2005,6.2076,-0.7212,0,0
-0.0183,-0.5618,-0.3324,-0.7212,1,120
-0.9067,-0.7596,-0.3325,-0.7212,1,0
-0.565,-0.4797,-0.3325,-0.7212,1,0
-1.7267,-1.1232,-0.3314,-0.7212,1,0
-1.3167,-0.8594,-0.3333,3.0766,0,0
0.87,-0.2429,-0.3333,-0.7212,0,0
0.87,0.0123,-0.3332,2.1271,0,0
-0.565,0.0123,-0.3331,-0.7212,1,0
0.255,-0.5108,-0.3329,-0.7212,1,30
0.5967,0.7344,-0.3331,-0.7212,1,0
-0.2917,-0.2005,3.1762,-0.7212,0,0
-0.9067,0.1909,-0.3333,-0.7212,0,0
-0.9067,-0.9063,-0.3335,1.1777,1,30
0.8017,-0.2005,4.2495,-0.7212,1,90
-1.3167,0.0138,-0.3329,0.2283,0,240
-1.5217,-0.6415,-0.3334,0.2283,0,0
-1.1117,-0.7846,-0.3327,-0.7212,1,270
-0.36,0.9564,-0.3332,0.2283,0,0
-1.5901,-0.9574,-0.3332,-0.7212,1,150
1.8267,-0.2005,-0.3314,-0.7212,0,0
1.6901,-0.2005,3.5325,-0.7212,0,0
1.0067,-0.2005,-0.2638,-0.7212,0,0
-0.0183,0.0123,-0.333,2.1271,0,30
-0.4284,0.5344,-0.3334,1.1777,1,0
0.1867,-0.5491,-0.3331,1.1777,0,0
1.4167,-0.9061,-0.3331,-0.7212,0,0
0.1183,-0.2005,3.3505,-0.7212,0,30
1.5534,-0.1597,-0.3333,0.2283,0,0
-1.1117,0.1822,-0.3331,1.1777,1,30
0.1183,-0.4049,-0.3326,1.1777,0,30
-1.2484,0.2557,-0.3332,1.1777,0,0
0.5967,-0.4335,-0.3334,-0.7212,1,120
0.1867,-0.3398,-0.3331,1.1777,1,0
0.05,-0.0592,-0.3331,-0.7212,0,60
0.3917,1.9597,-0.3334,-0.7212,0,0
1.4851,-1.5187,0.2505,0.2283,0,0
0.3917,-0.2005,2.4374,0.2283,0,0
-1.6584,-0.3878,-0.3335,-0.7212,0,0
-1.2484,-0.3705,-0.3332,2.1271,1,0
-1.3167,-1.2636,-0.3325,-0.7212,1,240
1.6901,-0.1319,-0.3335,-0.7212,0,0
0.5284,-0.2204,-0.3333,-0.7212,0,0
0.1867,-0.1222,-0.3327,2.1271,0,0
-1.6584,0.395,-0.3335,-0.7212,0,0
-1.7951,-0.6001,-0.3332,0.2283,1,150
0.1867,0.935,-0.3333,0.2283,0,0
-0.6334,-0.6884,-0.3334,3.0766,1,120
-0.4967,-1.3274,-0.3332,-0.7212,1,30
-0.4967,-0.26,-0.3326,-0.7212,0,0
-1.7267,-0.8808,-0.3334,-0.7212,0,0
-0.7017,-0.447,-0.3333,1.1777,1,330
0.5284,-0.3705,-0.333,0.2283,0,0
0.1183,-0.2005,1.3151,0.2283,1,0
-0.77,-0.2005,0.7267,1.1777,0,0
-0.4967,-0.5407,-0.3332,-0.7212,1,0
-1.4534,-0.6256,-0.3334,-0.7212,1,240
-1.4534,-0.1365,-0.3333,1.1777,0,0
-1.3851,-0.6767,-0.3332,1.1777,1,150
0.5284,-0.8553,-0.3335,-0.7212,1,150
-0.0867,-0.2005,0.7452,-0.7212,1,150
0.665,-0.286,-0.3328,-0.7212,1,210
-0.2917,-0.7267,-0.3328,-0.7212,0,0
1.6901,-0.4557,-0.3335,-0.7212,0,0
-0.9067,0.3098,-0.3332,-0.7212,1,90
-0.0183,0.3568,-0.3333,1.1777,0,0
-0.155,3.9758,-0.3328,-0.7212,1,0
-1.5901,0.0761,-0.3334,-0.7212,0,0
-0.8384,-0.1467,-0.3333,0.2283,0,0
0.5284,-0.1367,-0.3331,-0.7212,1,0
0.46,-0.2005,1.3652,-0.7212,0,0
-1.3851,-0.8387,-0.3327,-0.7212,1,450
-0.0183,1.1861,-0.3334,1.1777,0,0
0.5284,-0.1918,-0.333,-0.7212,1,90
-0.4284,-0.0387,-0.3331,-0.7212,1,330
0.5284,-0.015,-0.3333,0.2283,1,180
-0.0867,-0.7683,-0.3331,-0.7212,0,0
0.5284,-0.1367,-0.3335,-0.7212,0,0
-0.6334,-0.9372,-0.3334,2.1271,1,0
-0.6334,-0.445,-0.3328,-0.7212,0,0
1.8267,-0.2005,3.7798,0.0285,0,120
-0.155,-0.5567,-0.3334,-0.7212,0,0
-0.0867,1.2601,-0.3327,-0.7212,1,0
1.075,-0.2005,1.3282,-0.7212,0,0
0.7334,1.7559,-0.3329,-0.7212,0,0
0.87,-0.2429,-0.3332,-0.7212,0,0
-1.7951,-1.3018,-0.3335,-0.7212,0,0
-0.6334,0.2675,-0.3331,0.2283,0,0
0.3233,-0.4557,-0.3326,1.1777,1,90
-0.565,-0.5618,-0.3312,1.1777,0,0
0.255,0.9733,-0.3333,0.2283,0,0
-0.7017,1.2243,-0.3333,2.1271,0,0
0.255,-0.2429,-0.333,-0.7212,0,0
1.075,0.4716,-0.3327,1.1777,0,60
0.255,-0.3692,-0.3324,-0.7212,0,0
1.6217,-0.9318,-0.333,-0.7212,0,30
0.7334,-0.7188,-0.3335,-0.7212,1,270
-1.3167,-1.1105,-0.3331,3.0766,0,150
1.8267,-0.2429,-0.3335,-0.7212,0,0
0.3917,0.6714,-0.333,-0.7212,0,0
2.1001,-0.2005,-0.3314,0.0285,0,0
0.3917,-0.3462,-0.333,0.2283,1,210
-0.2917,-0.2005,0.3747,-0.7212,0,30
-0.155,-0.7119,-0.3335,-0.7212,1,450
1.075,-0.2005,2.6248,-0.7212,0,0
-0.9067,0.3335,-0.3329,0.2283,0,0
0.255,-0.1298,-0.3328,-0.7212,0,0
-1.3851,0.6502,-0.3329,-0.7212,0,0
-1.6584,-0.4343,-0.3335,0.2283,0,60
2.1001,-0.2005,-0.3335,0.0285,0,0
-0.975,-0.2784,-0.3331,1.1777,0,0
-0.0183,0.3596,-0.3332,1.1777,0,0
0.5967,-0.2429,-0.3328,-0.7212,1,180
0.1867,0.3899,-0.3322,1.1777,1,60
-0.4284,-0.2005,1.6442,-0.7212,0,0
-2.0684,-1.5185,-0.3335,-0.7212,0,0
-0.155,0.6081,-0.3334,0.2283,0,60
-0.565,2.0026,-0.3333,1.1777,0,0
-0.77,-1.2891,-0.3306,2.1271,1,0
0.87,-0.7532,-0.3334,-0.7212,0,0
0.3917,0.021,-0.3332,0.2283,0,0
-0.6334,-0.2429,-0.3328,1.1777,0,0
-0.7017,0.3312,-0.333,2.1271,1,180
0.3233,-0.8078,-0.3335,-0.7212,0,0
0.87,-0.2005,-0.2257,-0.7212,0,0
-0.0867,1.2243,-0.3332,1.1777,0,0
0.1867,-0.2005,1.1298,-0.7212,0,0
-1.9318,-0.2005,-0.2126,-0.7212,1,240
0.46,0.2164,-0.3331,-0.7212,1,0
-1.2484,0.654,-0.3335,-0.7212,0,0
-0.6334,-0.2005,5.8458,-0.7212,0,0
0.255,1.033,-0.3331,0.2283,0,0
1.075,-0.7124,-0.3319,-0.7212,1,30
-0.9067,-0.7532,-0.3331,-0.7212,0,180
-0.2917,-0.6843,-0.3332,1.1777,1,240
-0.0183,0.2455,-0.3332,1.1777,0,0
-1.1117,-0.5491,-0.3331,-0.7212,1,60
0.665,-0.9956,-0.3317,-0.7212,1,0
0.7334,0.4971,-0.3334,-0.7212,1,0
0.5284,-0.7532,-0.3323,0.2283,1,0
-0.975,0.7523,-0.3332,2.1271,1,0
-0.6334,-0.8553,-0.3323,1.1777,1,30
-0.6334,0.3568,-0.3331,0.2283,1,90
-0.155,1.6581,-0.3331,1.1777,0,0
-0.6334,-1.187,-0.3328,1.1777,1,0
-0.0867,-1.0084,-0.3333,2.1271,1,90
-1.0434,-0.2429,-0.3331,1.1777,1,120
-1.3167,-0.6555,-0.3328,0.2283,1,60
0.5967,1.1391,-0.3333,1.1777,0,180
1.0067,-0.2005,-0.132,-0.7212,0,0
1.4851,-0.4981,-0.3335,-0.7212,0,0
0.5967,3.1253,-0.3332,-0.7212,0,0
-1.3851,-0.7897,-0.3334,-0.7212,1,0
-0.155,-0.1459,-0.3333,1.1777,1,30
0.665,1.033,-0.3335,0.2283,0,0
0.46,0.1822,-0.3331,-0.7212,1,0
-0.155,-0.5236,-0.3335,-0.7212,0,60
1.8267,-0.3664,-0.3333,-0.7212,0,0
-0.7017,0.8543,-0.3332,-0.7212,0,0
-1.7267,-0.9574,-0.3334,-0.7212,1,0
0.5967,-0.1339,-0.3334,0.2283,1,0
0.8017,-0.1237,-0.3334,-0.7212,1,210
-0.2917,-0.0967,-0.3333,1.1777,1,180
-0.6334,-0.2429,-0.3329,-0.7212,1,60
-0.975,0.8579,-0.333,-0.7212,0,0
0.1867,1.5433,-0.3333,1.1777,0,0
0.5284,-0.6912,-0.3331,-0.7212,0,60
1.5534,-1.187,-0.3332,-0.7212,0,0
2.5101,-0.2005,0.39,-0.7212,0,30
-1.3851,1.033,-0.3332,-0.7212,0,0
0.1183,0.0082,-0.3329,0.2283,0,90
-1.1117,-0.2005,2.1977,-0.7212,1,390
0.1867,-0.3493,-0.3331,0.2283,1,0
-0.2233,-0.5618,-0.3331,-0.7212,0,0
1.2117,-0.6256,-0.3335,-0.7212,0,0
-1.7951,-0.2005,-0.0165,0.0285,0,0
0.255,1.7985,-0.3334,0.2283,1,90
-0.0867,1.5433,-0.3333,0.2283,0,0
-0.0867,1.1182,-0.3334,2.1271,1,120
-0.155,-0.309,-0.3333,0.2283,0,0
0.05,-1.0084,-0.3335,-0.7212,0,0
-1.1801,0.1144,-0.3333,-0.7212,0,0
-0.2917,-0.3705,-0.3316,2.1271,1,90
-0.36,0.4377,-0.3332,1.1777,0,0
-1.1801,-1.0084,-0.3325,-0.7212,1,0
-0.975,0.1399,-0.3335,-0.7212,1,0
-1.3851,-0.8502,-0.3335,1.1777,0,90
-1.9318,-1.1207,-0.3335,-0.7212,1,150
-1.1117,-0.4981,-0.3333,-0.7212,0,30
0.87,-0.0931,-0.3335,-0.7212,0,0
2.6468,-0.2005,-0.3335,-0.7212,0,0
-0.36,-0.6001,-0.3327,2.1271,1,270
2.2368,-0.9063,-0.3334,-0.7212,0,0
-0.0867,-0.2005,1.7324,-0.7212,1,60
-0.565,-0.0737,-0.3328,-0.7212,1,30
-0.6334,-0.2005,-0.3335,1.1777,1,0
-0.8384,-0.2005,0.6591,-0.7212,0,0
1.1434,0.395,-0.3332,-0.7212,1,30
-0.8384,0.836,-0.3333,-0.7212,0,0
1.7584,-0.2005,-0.2355,-0.7212,0,0
1.5534,-0.115,-0.3328,-0.7212,1,0
-0.6334,-0.2005,2.335,-0.7212,1,570
1.3484,-0.8627,-0.3313,-0.7212,1,0
-1.3851,-0.2005,0.7496,-0.7212,1,30
-2.0001,-1.4473,-0.3333,-0.7212,1,180
-0.155,1.4111,-0.3335,-0.7212,1,0
-0.4967,-0.2005,-0.2747,-0.7212,1,180
-0.0867,-0.4981,-0.3331,-0.7212,0,0
0.5967,-0.6001,-0.3335,-0.7212,1,0
0.7334,0.099,-0.3327,-0.7212,0,0
0.87,-0.2005,1.8043,-0.7212,0,60
-1.0434,3.5847,-0.3331,0.2283,0,0
1.28,-0.3705,-0.3329,-0.7212,1,0
-0.2233,1.3093,-0.333,0.2283,1,60
0.8017,-0.5567,-0.333,-0.7212,0,0
-0.4967,-0.5618,-0.3329,0.2283,0,0
-0.77,0.5226,-0.3332,1.1777,0,0
-0.77,-0.1579,-0.3331,-0.7212,0,90
1.2117,0.5757,-0.3334,0.2283,0,0
1.0067,-0.2005,-0.2812,-0.7212,0,0
0.46,1.033,-0.3328,1.1777,0,30
2.2368,-1.5187,-0.3335,-0.7212,0,0
1.4167,-0.8808,-0.3335,-0.7212,0,0
-1.3851,-0.6001,-0.3335,2.1271,0,150
0.3917,1.4693,-0.3332,-0.7212,0,0
1.6217,-0.9887,-0.3335,-0.7212,0,0
-0.4967,-0.7609,-0.333,-0.7212,0,0
-0.36,-0.9229,-0.3326,2.1271,1,510
0.255,-0.2005,1.5929,-0.7212,0,0
0.8017,0.3029,-0.3332,0.2283,0,90
-0.0867,-0.6767,-0.3334,2.1271,1,210
-0.7017,-1.1309,-0.3334,-0.7212,1,0
0.7334,-0.0648,-0.3333,-0.7212,0,0
0.87,1.1582,-0.3334,-0.7212,0,0
-1.2484,0.7564,-0.3331,0.2283,0,0
2.3051,-0.0387,-0.3334,-0.7212,1,0
-0.8384,-0.078,-0.3333,2.1271,1,30
0.255,1.4856,-0.3331,-0.7212,0,0
0.5284,1.2032,-0.3331,-0.7212,1,30
0.87,-0.2005,1.0906,0.0285,0,0
-0.8384,0.4767,-0.3334,2.1271,0,0
-0.0183,-0.4394,-0.3334,-0.7212,1,0
1.0067,-0.2429,-0.3335,-0.7212,0,0
-0.2917,3.1445,-0.3333,-0.7212,1,0
-1.5901,-0.868,-0.3334,-0.7212,0,30
1.3484,1.6964,-0.3335,-0.7212,0,0
-0.9067,-0.2005,0.6907,-0.7212,1,30
-0.155,0.1399,-0.3332,1.1777,0,0
1.8951,-0.2646,-0.333,-0.7212,0,0
0.8017,1.3616,-0.3333,2.1271,0,0
-1.5217,0.6502,-0.3328,0.2283,0,0
1.1434,-0.2429,-0.3333,-0.7212,0,60
-0.4967,1.6974,-0.333,1.1777,0,0
